question,document,score,reasoning
"I found this course late — can I still start it now, or is it already closed?",74eb249bbf,good,"The AI answer preserves the core meaning: the course can still be started, and certificate eligibility depends on submitting the project while submissions are open. This is semantically equivalent to the ground truth."
Is it okay to join the course after it has already begun?,74eb249bbf,bad,"The ground truth says yes, late joining is allowed, with the condition that to receive a certificate you must submit your project while submissions are still being accepted. The LLM answer says 'I don't know,' which does not answer the question and misses the key information."
"If I enroll now, will I still be able to get a certificate?",74eb249bbf,bad,"The ground truth says yes, a certificate is still possible if the project is submitted while submissions are still being accepted. The AI answer says 'I don't know,' which misses the key information and is incorrect."
What’s the deadline for submitting the project if I want the certificate?,74eb249bbf,good,"The AI answer preserves the key point from the ground truth: to get a certificate, the project must be submitted while submissions are still being accepted. It adds a reasonable clarification about no late submissions, which does not conflict with the original."
"Can I join the course anytime, or do I have to finish while submissions are still open?",74eb249bbf,good,"The LLM answer preserves the key meaning: you can join anytime, but to receive a certificate you must submit your project while submissions are still open. It adds a clarifying note that the form closes after that, which is consistent with the original."
"I signed up for the LLM Zoomcamp, but I never got any confirmation email — is that a problem, or am I already in?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is already in, registration is only for gauging interest, and homework can be submitted while the form is open without checking against a registered list. Same key information conveyed."
Do I actually need to wait for an acceptance or confirmation message before I can start the course and submit homework?,977bf7786c,good,"The AI answer preserves the key point: no need to wait for acceptance/confirmation, you are already accepted, and you can start the course and submit homework while the form is open. It omits the extra detail that registration is only to gauge interest and that submissions are not checked against a registered list, but that does not change the meaning."
"If I filled out the registration form, does that mean I’m officially registered somewhere, or is it only for showing interest?",977bf7786c,good,"The AI answer matches the ground truth: it states the form is only for gauging interest, not an official registration list, and that one can start learning and submitting homework while it is open. This preserves the key meaning exactly."
"Can I begin the LLM Zoomcamp and turn in assignments even if I didn’t register first, as long as the homework form is still open?",977bf7786c,good,"The AI answer preserves the key point: registration is not required to start learning or submit homework, provided the homework form is open. It also aligns with the idea that registration is only for gauging interest. The extra wording about late submissions is not in the ground truth, but it does not contradict the core answer."
"Is the course checking who submitted the registration form against some list, or can I just join and start learning right away?",977bf7786c,good,"The AI answer matches the ground truth: it states that registration is not checked against a list, that one can start learning right away, and that registration is only to gauge interest before the start date. It preserves the key meaning with no contradiction or omission."
How do students join the Office Hours or live workshop if the Zoom link isn’t public?,489dd1c9d9,good,"The AI answer matches the ground truth: it states that the Zoom link is only for instructors/presenters/TAs, students watch via YouTube Live, the video URL is posted in Telegram/Slack announcements before the session, questions go to Slido, and chat questions may be missed. No key information is missing or incorrect."
Where do I find the live stream or video link for an Office Hours session before it starts?,489dd1c9d9,good,"The answer correctly states that the video URL is posted in the announcements channel on Telegram and Slack before the session starts, and that it can also be watched live on the DataTalksClub YouTube channel. This matches the ground truth key points. It omits details about the Zoom link being restricted to instructors/TAs and the Slido/chat guidance, but those are extra and not necessary for the question."
"If I’m watching the live session, should I ask questions in chat or somewhere else?",489dd1c9d9,good,"The LLM answer matches the key point: students should not ask questions in chat and should use Slido, with the link pinned in chat during the live session. It omits extra context about YouTube Live and other links, but that is not necessary for the core answer."
"Is the Zoom URL for office hours shared with everyone, or only with instructors and TAs?",489dd1c9d9,good,"The LLM answer correctly states that the Zoom link is only shared with instructors, presenters, and TAs, which matches the ground truth. It omits additional details about students using YouTube Live and Slido, but those are not necessary to answer the question."
"Can I watch the workshop live on YouTube, and where should I send my questions during the stream?",489dd1c9d9,good,"The AI answer matches the ground truth on the key points: students can watch live on the DataTalksClub YouTube channel, questions should be sent to Slido, and not posted in chat. It omits some extra details about the Zoom link and announcements channels, but those are not required for the question asked."
"Where do I begin if I just joined the LLM Zoomcamp, and which docs or repo should I check first?",04919992b3,good,"The AI answer includes the same key starting resources as the ground truth: the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the GitHub repository. It also correctly describes the typical workflow of watching videos, working through notebooks/code, reading homework instructions, and submitting before the deadline. The extra suggestion to follow the GitHub repo first is not contradictory and does not change the core answer. The only omission is the explicit note that you can start whenever you want and that deadlines are listed in the course management platform, but the answer still captures the main guidance well enough."
"Can I start the course at any time, or do I have to wait for a specific date?",04919992b3,good,"The AI answer correctly conveys the key point that the course can be started anytime and no specific date is required. It omits the additional workflow/deadline details from the ground truth, but those are not necessary for answering the question."
What’s the usual weekly routine for this course from watching the videos to turning in homework?,04919992b3,good,"The AI answer matches the ground truth’s core workflow exactly: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit via the course platform before the deadline. It also correctly notes that homework is similar but may use a different dataset or slightly different task. It omits the introductory links and the note that you can start whenever you want, but those are extra context rather than the main answer to the question."
"Where are the deadlines and course materials kept, and how do I know when assignments are due?",04919992b3,good,"The AI answer correctly states that materials/videos are in the LLM Zoomcamp GitHub repository and that deadlines/due dates are on the course management platform, with the correct link. This matches the ground truth key points, though it omits the docs references and workflow details, which are not essential to the question."
"Is the homework basically the same as the lesson work, or does it use different data/tasks?",04919992b3,good,"The AI answer captures the key point from the ground truth: homework is similar to the lesson flow but uses a different dataset or slightly different task. It omits the extra logistics/start-here information, but that is not required to answer the specific question."
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0,good,"The AI answer correctly states the key instruction for finding the entry on the leaderboard: use the “Jump to your record on the leaderboard” link. It also correctly mentions “Edit Course Profile” for checking the display name. This matches the ground truth’s core information, without introducing any conflicting details."
Why does the leaderboard show a random name for me instead of my real one?,c2903069a0,good,"The AI answer captures the key idea that a random anonymous display name is assigned by default and that the leaderboard name can be changed via Edit Course Profile in the first field. It does not mention the specific 'Jump to your record on the leaderboard' link, but that is extra detail rather than a core requirement. Overall semantically equivalent."
Where can I check what my display name is in the course profile?,c2903069a0,good,"The AI answer correctly identifies that the display name can be checked via the “Edit Course Profile” button and that the first field is the nickname/display name. It omits some extra context about the random assigned name and the second field for official name, but those are not required to answer the question. Semantically equivalent."
Can I change the nickname that appears on the leaderboard to my Slack or GitHub name?,c2903069a0,good,"The AI answer correctly states that the leaderboard/display name can be changed in Edit Course Profile and can be set to a Slack or GitHub username or another nickname. This matches the key point of the original answer. It omits some extra details about the random default name and the second official-name field, but those are not required for the question asked."
What name should I put in my profile so my certificate doesn’t show the default random name?,c2903069a0,good,"The AI answer captures the key point: to avoid the default random name on the certificate, the user should enter their official name in the second field of Edit Course Profile. This matches the ground truth. It omits some extra details like the first field/display name and the leaderboard link, but those are not essential to the question."
Can I do the course on my own schedule and still receive the certificate?,69d122f12e,good,"The AI answer matches the key point: certificates are not awarded for self-paced mode, only for completing with a live cohort. It omits the explanation about required peer reviews, but that is supporting detail rather than the core answer."
