question,document
"I found this course late — can I still start it now, or is it already closed?",74eb249bbf
Is it okay to join the course after it has already begun?,74eb249bbf
"If I enroll now, will I still be able to get a certificate?",74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,74eb249bbf
"Can I join the course anytime, or do I have to finish while submissions are still open?",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got any confirmation email — is that a problem, or am I already in?",977bf7786c
Do I actually need to wait for an acceptance or confirmation message before I can start the course and submit homework?,977bf7786c
"If I filled out the registration form, does that mean I’m officially registered somewhere, or is it only for showing interest?",977bf7786c
"Can I begin the LLM Zoomcamp and turn in assignments even if I didn’t register first, as long as the homework form is still open?",977bf7786c
"Is the course checking who submitted the registration form against some list, or can I just join and start learning right away?",977bf7786c
How do students join the Office Hours or live workshop if the Zoom link isn’t public?,489dd1c9d9
Where do I find the live stream or video link for an Office Hours session before it starts?,489dd1c9d9
"If I’m watching the live session, should I ask questions in chat or somewhere else?",489dd1c9d9
"Is the Zoom URL for office hours shared with everyone, or only with instructors and TAs?",489dd1c9d9
"Can I watch the workshop live on YouTube, and where should I send my questions during the stream?",489dd1c9d9
"Where do I begin if I just joined the LLM Zoomcamp, and which docs or repo should I check first?",04919992b3
"Can I start the course at any time, or do I have to wait for a specific date?",04919992b3
What’s the usual weekly routine for this course from watching the videos to turning in homework?,04919992b3
"Where are the deadlines and course materials kept, and how do I know when assignments are due?",04919992b3
"Is the homework basically the same as the lesson work, or does it use different data/tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0
Why does the leaderboard show a random name for me instead of my real one?,c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
Can I change the nickname that appears on the leaderboard to my Slack or GitHub name?,c2903069a0
What name should I put in my profile so my certificate doesn’t show the default random name?,c2903069a0
Can I do the course on my own schedule and still receive the certificate?,69d122f12e
Do you give certificates for the self-paced version of the course?,69d122f12e
Is there any way to get the certificate without joining a live cohort?,69d122f12e
Why doesn't the self-paced mode come with a certificate?,69d122f12e
Do I need to take part in peer review to qualify for the certificate?,69d122f12e
Do I still get the certificate if I skipped the first homework?,9f689c185f
Is the Capstone project the only thing I need to pass for the certificate?,9f689c185f
"Are the homework assignments required, or just optional practice?",9f689c185f
"If homework isn't mandatory, does it still affect anything like my score or ranking?",9f689c185f
Will missing one homework prevent me from finishing the course and getting certified?,9f689c185f
Why does the homework keep changing before it’s released?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if the homework is actually ready to work on?,96286b4be4
Is it safe to start the homework early if the page is already visible?,96286b4be4
Why do the homework instructions or tasks get updated sometimes?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next cohort for this course starts?,bd31146b0e
Is there a planned date for the next run of the course?,bd31146b0e
When can I expect this course to be available again?,bd31146b0e
What’s the next offering of this course after now?,bd31146b0e
Where can I find the course lectures or videos?,31456f4b5f
Is there a main place I should start if I want the lesson videos?,31456f4b5f
"Do I need to use the GitHub repo to watch the lectures, and how do I get to them?",31456f4b5f
Why isn’t the YouTube playlist the best place to look for the course videos?,31456f4b5f
"On the lesson pages, where are the relevant videos usually linked?",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and all the deadlines for the current cohort?,20c5a1347e
Is there a course platform where I can follow homework and track my progress in LLM Zoomcamp?,20c5a1347e
What website should I use to see the current cohort structure for LLM Zoomcamp?,20c5a1347e
"How do students keep up with assignments, deadlines, and progress updates in this course?",20c5a1347e
Does LLM Zoomcamp use the same management platform as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live sessions or office hours for every module in the course, or is everything just pre-recorded?",d65e05bd7a
"If I have a question while studying, where should I ask it since there aren't live module sessions by default?",d65e05bd7a
"Are live calls for the course scheduled regularly, or only announced when they actually happen?",d65e05bd7a
"Is there any extra paid option for more support, like Zoom office hours or a more structured community?",d65e05bd7a
"Does the free course include all the content, or do I need to join something paid to get the materials?",d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
Is Bluesky accepted for learning in public credit requirements?,dbf5369006
"If I share my progress on Bluesky, does that qualify as learning in public credit?",dbf5369006
Do Bluesky updates work for the course learning in public credit system?,dbf5369006
Can I use posts on Bluesky to get learning in public credits?,dbf5369006
Where can I find the LLM Zoomcamp Telegram channel link?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I use the Telegram channel or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
What’s the Telegram group for LLM Zoomcamp announcements?,054f3fd58f
Where do I go for LLM Zoomcamp updates and where should I ask technical questions?,054f3fd58f
Why is my FAQ dataset record count different from what the course videos show?,e2d595f23c
Did the FAQ data change after the videos were recorded?,e2d595f23c
I'm getting a different number of rows from the FAQ dataset than in the lecture—why?,e2d595f23c
Why do the dataset counts not match the May 2026 video examples?,e2d595f23c
Is it normal for the live FAQ dataset to have a different record total when I run the code?,e2d595f23c
"The homework deadline already passed, but the submission form is still open — am I still allowed to turn it in?",a9353fadfe
Can I submit my homework after the deadline if the form hasn’t been closed yet?,a9353fadfe
"The deadline is over, but I can still access the homework form. Does that mean I can still send my answers?",a9353fadfe
Is it okay to submit late as long as the homework submission page is still open?,a9353fadfe
When does homework submission actually stop — at the deadline or only once the form is closed?,a9353fadfe
Can I still turn in homework if the deadline already passed but the submission form is open?,cdc3b285e5
Do you give any deadline extensions or accept late homework submissions after the form closes?,cdc3b285e5
What happens if I miss a homework in this course — does it hurt my certificate?,cdc3b285e5
"Is homework required to get the certificate, or is the Capstone project the only thing that matters?",cdc3b285e5
"If I skip a homework assignment, will I still show up on the leaderboard?",cdc3b285e5
"Will the name I enter for the certificate show up publicly online, or is it kept private?",651ba06b34
"Does the certificate name get shared with anyone else, or is it only printed on my certificate?",651ba06b34
What name appears on the public leaderboard if I use my real name in the certificate field?,651ba06b34
Can I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34
"In the course profile, which field is for the public nickname and which one is for the certificate name?",651ba06b34
Why doesn’t this course start with LangChain right away?,b7cdde6b25
What’s the reason for building the RAG pieces manually instead of using a framework?,b7cdde6b25
"Is LangChain bad, or is there another reason it’s not used here?",b7cdde6b25
"What do we learn by doing prompting, retrieval, indexing, and evaluation ourselves first?",b7cdde6b25
Why is the course comparing LangChain to React or Angular?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
"What does the error mean if responses.create fails with ""Insufficient credits"" in OpenAI?",f5df151c59
How can I fix the OpenAI error that appears when using the responses.create command?,f5df151c59
"Is the responses.create command broken, or is the issue that my OpenAI account has no credits left?",f5df151c59
Why am I seeing an OpenAI API Error: Insufficient credits message from responses.create?,f5df151c59
