question,answer_llm,answer_orig,document
"I found this course late — can I still start it now, or is it already closed?","Yes — you can still join and start learning.

If you want a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to join the course after it has already begun?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I enroll now, will I still be able to get a certificate?",I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,"You need to submit your project while the course is still accepting submissions. Once the submission form is closed, you can no longer submit, and there are no late submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can I join the course anytime, or do I have to finish while submissions are still open?","Yes — you can join anytime.

If you want a certificate, you just need to submit your project while submissions are still open. Once the submission form closes, you can’t submit anymore, so make sure to finish and submit before then.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got any confirmation email — is that a problem, or am I already in?","You’re already in — no confirmation email is needed. Registration is just to gauge interest, and it isn’t checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for an acceptance or confirmation message before I can start the course and submit homework?,"No — you don’t need to wait. You’re already accepted, and you can start the course and submit homework as long as the submission form is open, even without a confirmation email.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the registration form, does that mean I’m officially registered somewhere, or is it only for showing interest?","It’s only for showing interest. Registration is just to gauge interest before the start date, and it’s not checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Can I begin the LLM Zoomcamp and turn in assignments even if I didn’t register first, as long as the homework form is still open?","Yes — you can begin the LLM Zoomcamp and submit homework as long as the homework form is still open, even if you didn’t register first.

The context says submissions are allowed while the form is open, and there are no late submissions only after the form is closed.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is the course checking who submitted the registration form against some list, or can I just join and start learning right away?","You can just join and start learning right away. The course does **not** check your registration against a list, and registration is only for gauging interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop if the Zoom link isn’t public?,"Students join via **YouTube Live** rather than the Zoom link. The Zoom link is only for instructors/presenters/TAs.

- Watch live on the **DataTalksClub YouTube Channel**
- The live video URL is also posted in the **announcements channel on Telegram and Slack** before it starts
- Ask questions in **Slido** (the link is pinned in chat when live)

Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
